PLANT,PLANT_LAT,PLANT_LNG,SHIPMENTS,DESTINATION,DESTINATION_ZIP,DESTINATION_STATE,DESTINATION_COUNTRY,DESTINATION_STATE_LAT,DESTINATION_STATE_LNG,DESTINATION_ZIP_LAT,DESTINATION_ZIP_LNG
70,38.88,-89.4,4,GLENDALEHEIGHTS,60139,IL,US,40.3363,-89.0022,41.92,-88.07
1520,41.52,-74.23,1,Stratford,6615,CT,US,41.5834,-72.7622,41.2,-73.13
570,39.8,-79.8,1,FRANKLIN,23851,VA,US,37.768,-78.2057,36.68,-76.93
570,39.8,-79.8,1,BRIDGEPORT,26330,WV,US,38.468,-80.9696,39.29,-80.25
642,39.69,-104.81,1,DENVER,80220,CO,US,39.0646,-105.3272,39.76,-104.87
70,38.88,-89.4,1,MONROE,45050,OH,US,40.3736,-82.7755,39.44,-84.34
310,40.2,-77.2,1,PATCHOGUE,11772,NY,US,42.1497,-74.9384,40.76,-73.01
310,40.2,-77.2,1,BRADDOCK,15104,PA,US,40.5773,-77.264,40.4,-79.86
530,41.93,-87.87,1,Newburg,53060,WI,US,44.2563,-89.6385,43.43,-88.04
310,40.2,-77.2,1,STERLING,20166,VA,US,37.768,-78.2057,39,-77.4
10,40.2,-77.2,1,DALLAS,75220,TX,US,31.106,-97.6475,32.79,-96.76
1661,47.1,-122.32,3,PORTLAND,97217,OR,US,44.5672,-122.1269,45.58,-122.7
1661,47.1,-122.32,2,PHOENIX,97535,OR,US,44.5672,-122.1269,42.26,-122.81
1520,41.52,-74.23,1,BROOKLYN,11205,NY,US,42.1497,-74.9384,40.64,-73.94
1661,47.1,-122.32,1,HERMISTON,97838,OR,US,44.5672,-122.1269,45.85,-119.21
1661,47.1,-122.32,3,EUGENE,97402,OR,US,44.5672,-122.1269,44.04,-123.22
1661,47.1,-122.32,1,OMAK,98841,WA,US,47.3917,-121.5708,48.36,-119.27
1661,47.1,-122.32,1,SEQUIM,98382,WA,US,47.3917,-121.5708,48.06,-123.06
1661,47.1,-122.32,1,BEAVERTON,97005,OR,US,44.5672,-122.1269,45.49,-122.8
1661,47.1,-122.32,1,HELENA,59602,MT,US,46.9048,-110.3261,46.76,-112.01
1661,47.1,-122.32,1,KALISPELL,59901,MT,US,46.9048,-110.3261,48.19,-114.38
1661,47.1,-122.32,2,LEWISTON,83501,ID,US,44.2394,-114.5103,46.16,-116.92
643,40.57,-112.33,3,MAPLETON,84664,UT,US,40.1135,-111.8535,40.11,-111.48
643,40.57,-112.33,2,PROVO,84601,UT,US,40.1135,-111.8535,40.22,-111.69
90,34.61,-89.97,1,DALLAS,75228,TX,US,31.106,-97.6475,32.79,-96.76
70,38.88,-89.4,1,ORLANDO,32826,FL,US,27.8333,-81.717,28.5,-81.37
540,30.19,-82.64,2,Slidell,70458,LA,US,31.1801,-91.8749,30.28,-89.77
70,38.88,-89.4,1,BOLINGBROOK,60440,IL,US,40.3363,-89.0022,41.7,-88.07
570,39.8,-79.8,1,CANONSBURG,15317,PA,US,40.5773,-77.264,40.26,-80.18
570,39.8,-79.8,4,Cleveland,44135,OH,US,40.3736,-82.7755,41.47,-81.67
570,39.8,-79.8,2,DUBOIS,15801,PA,US,40.5773,-77.264,41.14,-78.73
663,38.39,-121.81,5,SANFRANCISCO,94124,CA,US,36.17,-119.7462,37.73,-122.38
570,39.8,-79.8,2,BUTLER,16001,PA,US,40.5773,-77.264,40.86,-79.89
570,39.8,-79.8,1,Etna,15223,PA,US,40.5773,-77.264,40.43,-79.97
570,39.8,-79.8,3,PITTSBURGH,15205,PA,US,40.5773,-77.264,40.43,-79.97
560,40.57,-112.33,4,DENVER,80022,CO,US,39.0646,-105.3272,39.86,-104.86
10,40.2,-77.2,1,MASSENA,13662,NY,US,42.1497,-74.9384,44.92,-74.89
10,40.2,-77.2,1,Charlotte,28208,NC,US,35.6411,-79.8431,35.19,-80.83
10,40.2,-77.2,1,ITHACA,14850,NY,US,42.1497,-74.9384,42.44,-76.5
10,40.2,-77.2,1,SCHAUMBURG,60173,IL,US,40.3363,-89.0022,42.03,-88.08
10,40.2,-77.2,1,ROANOKE,24018,VA,US,37.768,-78.2057,37.27,-79.95
10,40.2,-77.2,1,WYTHEVILLE,24382,VA,US,37.768,-78.2057,36.95,-81.08
560,40.57,-112.33,2,CASPER,82601,WY,US,42.7475,-107.2085,42.83,-106.32
530,41.93,-87.87,1,OMAHA,68105,NE,US,41.1289,-98.2883,41.26,-96.01
530,41.93,-87.87,2,OMAHA,68122,NE,US,41.1289,-98.2883,41.26,-96.01
10,40.2,-77.2,1,Chesapeake,23325,VA,US,37.768,-78.2057,36.67,-76.3
10,40.2,-77.2,2,NewportNews,23601,VA,US,37.768,-78.2057,37.07,-76.51
646,28.04,-81.96,1,WESTPOINT,39773,MS,US,32.7673,-89.6812,33.6,-88.64
560,40.57,-112.33,1,BEND,97701,OR,US,44.5672,-122.1269,44.07,-121.25
560,40.57,-112.33,1,CLACKAMAS,97015,OR,US,44.5672,-122.1269,45.41,-122.49
530,41.93,-87.87,1,WYOMING,49509,MI,US,43.3504,-84.5603,42.96,-85.65
570,39.8,-79.8,5,CHANTILLY,20151,VA,US,37.768,-78.2057,38.87,-77.4
570,39.8,-79.8,4,HANOVER,21076,MD,US,39.0724,-76.7902,39.16,-76.72
550,32.73,-96.29,1,WICHITAFALLS,76310,TX,US,31.106,-97.6475,33.89,-98.51
70,38.88,-89.4,1,LEWISVILLE,75057,TX,US,31.106,-97.6475,33.04,-96.98
91,40.57,-112.33,2,OAKLAND,94621,CA,US,36.17,-119.7462,37.73,-122.2
91,40.57,-112.33,1,SACRAMENTO,95815,CA,US,36.17,-119.7462,38.6,-121.46
90,34.61,-89.97,1,LITTLEROCK,72209,AR,US,34.9513,-92.3809,34.72,-92.35
320,32.73,-96.29,2,HOUSTON,77007,TX,US,31.106,-97.6475,29.76,-95.38
560,40.57,-112.33,1,OAKLAND,94621,CA,US,36.17,-119.7462,37.73,-122.2
310,40.2,-77.2,1,BALTIMORE,21237,MD,US,39.0724,-76.7902,39.32,-76.5
550,32.73,-96.29,3,SANANTONIO,78202,TX,US,31.106,-97.6475,29.45,-98.5
550,32.73,-96.29,2,SANANTONIO,78228,TX,US,31.106,-97.6475,29.45,-98.5
310,40.2,-77.2,1,JACKSONVILLE,32207,FL,US,27.8333,-81.717,30.33,-81.65
665,33.44,-112.13,3,PHOENIX,85008,AZ,US,33.7712,-111.3877,33.46,-111.98
320,32.73,-96.29,4,SANLEANDRO,94577,CA,US,36.17,-119.7462,37.71,-122.16
90,34.61,-89.97,2,Houston,77073,TX,US,31.106,-97.6475,29.76,-95.38
560,40.57,-112.33,1,NORCO,92860,CA,US,36.17,-119.7462,33.93,-117.56
560,40.57,-112.33,1,NORTHRIDGE,91330,CA,US,36.17,-119.7462,34.24,-118.5
10,40.2,-77.2,1,MIDDLETOWN,10940,NY,US,42.1497,-74.9384,41.44,-74.42
1520,41.52,-74.23,4,BOSTON,2119,MA,US,42.2373,-71.5314,42.35,-71.06
